freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.192e+01,1.848e+01,1.465e+02,1.969e+02
1.5,4.288e+01,2.673e+01,1.300e+02,1.996e+02
3.1,3.071e+01,2.145e+01,6.397e+01,1.161e+02
4.6,2.937e+01,2.145e+01,3.517e+02,4.025e+02
6.1,2.860e+01,2.519e+01,1.193e+03,1.247e+03
7.6,3.121e+01,2.514e+01,1.929e+03,1.985e+03
9.2,3.303e+01,2.306e+01,2.794e+03,2.851e+03
10.7,2.975e+01,2.845e+01,3.917e+03,3.976e+03
12.2,3.400e+01,4.852e+01,4.867e+03,4.950e+03
13.8,3.665e+01,4.756e+01,5.910e+03,5.994e+03
15.3,3.622e+01,3.163e+01,7.378e+03,7.446e+03
16.8,4.822e+01,2.950e+01,9.540e+03,9.618e+03
18.3,5.381e+01,2.870e+01,1.185e+04,1.193e+04
19.9,5.174e+01,3.639e+01,1.431e+04,1.440e+04
21.4,5.963e+01,4.371e+01,1.616e+04,1.626e+04
22.9,8.921e+01,3.919e+01,1.817e+04,1.829e+04
24.5,1.209e+02,4.527e+01,2.141e+04,2.158e+04
26.0,8.514e+01,6.559e+01,2.544e+04,2.559e+04
27.5,7.669e+01,8.032e+01,3.096e+04,3.111e+04
29.0,9.115e+01,9.761e+01,3.755e+04,3.774e+04
30.6,1.754e+02,1.743e+02,4.050e+04,4.085e+04
32.1,3.795e+02,2.944e+02,4.107e+04,4.174e+04
33.6,6.341e+02,5.646e+02,4.781e+04,4.901e+04
35.2,1.116e+03,9.527e+02,5.713e+04,5.920e+04
36.7,1.847e+03,1.418e+03,6.970e+04,7.296e+04
38.2,2.118e+03,1.837e+03,8.257e+04,8.653e+04
39.8,2.359e+03,1.490e+03,9.195e+04,9.580e+04
41.3,3.373e+03,1.619e+03,1.106e+05,1.156e+05
42.8,6.856e+03,3.174e+03,1.394e+05,1.494e+05
44.3,1.496e+04,5.803e+03,1.703e+05,1.910e+05
45.9,2.832e+04,9.138e+03,1.991e+05,2.365e+05
47.4,4.416e+04,1.231e+04,2.196e+05,2.760e+05
48.9,5.429e+04,1.453e+04,2.207e+05,2.895e+05
50.5,5.470e+04,1.566e+04,1.993e+05,2.696e+05
52.0,5.474e+04,1.712e+04,1.803e+05,2.522e+05
53.5,5.578e+04,2.041e+04,1.802e+05,2.563e+05
55.0,5.393e+04,2.119e+04,1.684e+05,2.435e+05
56.6,4.154e+04,1.722e+04,1.491e+05,2.079e+05
58.1,2.476e+04,1.552e+04,1.257e+05,1.660e+05
59.6,1.903e+04,1.757e+04,9.406e+04,1.307e+05
61.2,1.902e+04,1.848e+04,6.336e+04,1.009e+05
62.7,1.808e+04,1.767e+04,4.086e+04,7.661e+04
64.2,1.520e+04,1.558e+04,2.688e+04,5.765e+04
65.7,1.263e+04,1.337e+04,1.793e+04,4.393e+04
67.3,1.103e+04,1.183e+04,1.189e+04,3.475e+04
68.8,1.037e+04,1.077e+04,9.196e+03,3.034e+04
70.3,8.897e+03,8.494e+03,8.106e+03,2.550e+04
71.9,7.846e+03,6.037e+03,8.444e+03,2.233e+04
73.4,6.410e+03,3.148e+03,1.125e+04,2.081e+04
74.9,4.914e+03,1.356e+03,1.415e+04,2.042e+04
76.4,3.628e+03,1.457e+03,1.676e+04,2.185e+04
78.0,3.589e+03,3.850e+03,1.666e+04,2.410e+04
79.5,4.699e+03,7.143e+03,1.537e+04,2.721e+04
81.0,4.298e+03,1.264e+04,1.664e+04,3.357e+04
82.6,4.255e+03,2.015e+04,1.617e+04,4.057e+04
84.1,4.988e+03,2.506e+04,1.323e+04,4.328e+04
85.6,6.904e+03,2.857e+04,1.187e+04,4.735e+04
87.1,9.277e+03,2.904e+04,1.060e+04,4.892e+04
88.7,9.935e+03,3.054e+04,8.766e+03,4.924e+04
90.2,9.222e+03,3.183e+04,7.413e+03,4.847e+04
91.7,8.554e+03,3.136e+04,6.709e+03,4.663e+04
93.3,8.140e+03,3.359e+04,7.282e+03,4.901e+04
94.8,8.052e+03,3.543e+04,9.179e+03,5.266e+04
