freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.955e+01,4.501e+02,2.121e+01,5.609e+02
1.5,7.671e+01,2.681e+02,4.980e+01,3.946e+02
3.1,3.602e+01,2.996e+01,5.274e+01,1.187e+02
4.6,3.445e+01,3.236e+02,5.614e+01,4.142e+02
6.1,3.657e+01,1.224e+03,4.984e+01,1.310e+03
7.7,3.942e+01,2.067e+03,5.245e+01,2.159e+03
9.2,3.038e+01,3.122e+03,5.300e+01,3.205e+03
10.7,3.085e+01,4.661e+03,9.956e+01,4.792e+03
12.2,3.907e+01,6.301e+03,1.927e+02,6.532e+03
13.8,1.034e+02,7.818e+03,1.925e+02,8.114e+03
15.3,2.037e+02,8.971e+03,1.320e+02,9.307e+03
16.8,1.150e+02,1.061e+04,1.038e+02,1.083e+04
18.4,9.697e+01,1.383e+04,8.682e+01,1.401e+04
19.9,9.340e+01,1.814e+04,7.436e+01,1.831e+04
21.4,7.132e+01,2.281e+04,1.586e+02,2.304e+04
23.0,2.308e+02,2.745e+04,2.560e+02,2.794e+04
24.5,7.810e+02,3.627e+04,3.340e+02,3.738e+04
26.0,1.123e+03,3.973e+04,2.517e+03,4.337e+04
27.6,1.077e+03,2.747e+04,8.067e+03,3.661e+04
29.1,2.238e+03,2.035e+04,1.324e+04,3.583e+04
30.6,5.880e+03,2.293e+04,1.713e+04,4.594e+04
32.1,1.044e+04,2.892e+04,1.808e+04,5.744e+04
33.7,1.659e+04,4.738e+04,1.607e+04,8.003e+04
35.2,3.115e+04,1.205e+05,1.510e+04,1.668e+05
36.7,4.877e+04,2.213e+05,1.249e+04,2.826e+05
38.3,5.818e+04,2.869e+05,9.394e+03,3.545e+05
39.8,7.235e+04,3.539e+05,1.121e+04,4.375e+05
41.3,7.989e+04,3.864e+05,1.196e+04,4.782e+05
42.9,1.099e+05,5.466e+05,1.131e+04,6.678e+05
44.4,1.947e+05,1.029e+06,9.890e+03,1.234e+06
45.9,3.299e+05,1.687e+06,7.232e+03,2.024e+06
47.5,3.793e+05,1.796e+06,3.384e+03,2.179e+06
49.0,2.895e+05,1.313e+06,1.233e+03,1.603e+06
50.5,2.080e+05,9.437e+05,1.215e+03,1.153e+06
52.1,1.658e+05,7.393e+05,1.778e+03,9.069e+05
53.6,1.248e+05,5.321e+05,1.383e+03,6.582e+05
55.1,8.243e+04,3.715e+05,1.128e+03,4.551e+05
56.6,5.399e+04,3.051e+05,2.132e+03,3.612e+05
58.2,3.546e+04,2.671e+05,3.054e+03,3.057e+05
59.7,2.393e+04,2.430e+05,3.033e+03,2.699e+05
61.2,2.122e+04,2.302e+05,2.919e+03,2.543e+05
62.8,2.212e+04,2.284e+05,3.060e+03,2.536e+05
64.3,2.217e+04,2.196e+05,2.736e+03,2.445e+05
65.8,2.170e+04,2.062e+05,2.195e+03,2.301e+05
67.4,1.853e+04,1.770e+05,1.761e+03,1.973e+05
68.9,1.450e+04,1.470e+05,1.736e+03,1.632e+05
70.4,1.295e+04,1.341e+05,1.858e+03,1.489e+05
72.0,1.286e+04,1.275e+05,1.986e+03,1.424e+05
73.5,1.262e+04,1.226e+05,1.724e+03,1.370e+05
75.0,1.207e+04,1.164e+05,1.214e+03,1.297e+05
76.5,1.177e+04,1.050e+05,8.881e+02,1.177e+05
